dataset,item_id,stratum,gold_answer,raw_response,prediction,em,f1,exact_raw
squad,939,long-direct,"thực phẩm, sợi, nhiên liệu, và nguyên liệu","thực phẩm, sợi, nhiên liệu, và nguyên liệu","thực phẩm, sợi, nhiên liệu, và nguyên liệu",1,1.000000,1
squad,950,mid-direct,truyện ngắn,truyện ngắn,truyện ngắn,1,1.000000,1
squad,952,long-direct,nguyên liệu đầu vào vật chất và phi vật chất,các loại nguyên liệu đầu vào vật chất và phi vật chất,các loại nguyên liệu đầu vào vật chất và phi vật chất,0,0.907216,0
squad,963,short-direct,1999,1999,1999,1,1.000000,1
squad,972,short-direct,quân đội cách mạng Cuba,quân đội cách mạng Cuba,quân đội cách mạng Cuba,1,1.000000,1
squad,975,short-infer,"được đặc trưng có những vùng của dạ dày-ruột bị dày lên, có viêm lan ra tất cả các lớp, loét sâu, lớp viêm mạc nứt nẻ và sự có mặt của u hạt","được đặc trưng có những vùng của dạ dày-ruột bị dày lên, có viêm lan ra tất cả các lớp, loét sâu, lớp viêm mạc nứt nẻ và sự có mặt của u hạt","được đặc trưng có những vùng của dạ dày-ruột bị dày lên, có viêm lan ra tất cả các lớp, loét sâu, lớp viêm mạc nứt nẻ và sự có mặt của u hạt",1,1.000000,1
squad,982,mid-direct,100 - 160 km,100 - 160 km,100 - 160 km,1,1.000000,1
squad,1025,mid-direct,Thành phố vườn quốc gia,Thành phố vườn quốc gia,Thành phố vườn quốc gia,1,1.000000,1
squad,1028,mid-direct,tháng 12/1941,tháng 12 /1941,tháng 12 /1941,0,0.962963,0
squad,1032,short-direct,suất ăn trưa,ăn trưa,ăn trưa,0,0.736842,0
squad,1040,mid-direct,Anh Quốc,Anh Quốc,Anh Quốc,1,1.000000,1
squad,1072,short-direct,31 tháng 7 năm 1958,31 tháng 7 năm 1958,31 tháng 7 năm 1958,1,1.000000,1
squad,1107,mid-infer,sử dụng các phân tử polyme trong thiết kế vũ khí và việc sử dụng một thanh ray dùng để gắn đèn pin trên súng ngắn,sử dụng các phân tử polyme trong thiết kế vũ khí và việc sử dụng một thanh ray dùng để gắn đèn pin trên súng ngắn,sử dụng các phân tử polyme trong thiết kế vũ khí và việc sử dụng một thanh ray dùng để gắn đèn pin trên súng ngắn,1,1.000000,1
squad,1114,long-direct,thứ tư,thứ tư,thứ tư,1,1.000000,1
squad,1140,short-direct,"nhấn mạnh vai trò của văn học trong việc phát triển sự hiểu biết lẫn nhau và (hiểu biết) văn hóa thế giới, đấu tranh cho quyền tự do ngôn luận, và hành động như là một tiếng nói mạnh mẽ đại diện cho các nhà văn bị sách nhiễu, bị cầm tù và đôi khi bị giết vì quan điểm của mình","nhấn mạnh vai trò của văn học trong việc phát triển sự hiểu biết lẫn nhau và (hiểu biết) văn hóa thế giới, đấu tranh cho quyền tự do ngôn luận, và hành động như là một tiếng nói mạnh mẽ đại","nhấn mạnh vai trò của văn học trong việc phát triển sự hiểu biết lẫn nhau và (hiểu biết) văn hóa thế giới, đấu tranh cho quyền tự do ngôn luận, và hành động như là một tiếng nói mạnh mẽ đại",0,0.812903,0
squad,1191,long-direct,ba,ba,ba,1,1.000000,1
squad,1192,mid-infer,một nguyên tử liên kết với 4 phối tử (nguyên tử hoặc nhóm nguyên tử) hay nhóm thế trong một cấu trúc không gian mà cấu trúc này không thể chồng khít lên hình ảnh phản chiếu qua gương của nó,một trung tâm lập thể bao gồm một nguyên tử liên kết với 4 phối tử (nguyên tử hoặc nhóm nguyên tử) hay nhóm thế trong một cấu trúc không gian mà cấu trúc này không thể chồng khít lên hình ảnh phản,một trung tâm lập thể bao gồm một nguyên tử liên kết với 4 phối tử (nguyên tử hoặc nhóm nguyên tử) hay nhóm thế trong một cấu trúc không gian mà cấu trúc này không thể chồng khít lên hình ảnh phản,0,0.919481,0
squad,1234,short-direct,31 tập,31 tập,31 tập,1,1.000000,1
squad,1265,short-infer,nơi mà nghệ thuật Batik đạt đến đỉnh cao,nơi mà nghệ thuật Batik đạt đến đỉnh cao,nơi mà nghệ thuật Batik đạt đến đỉnh cao,1,1.000000,1
squad,1306,short-direct,7 tháng 8 năm 1912,7 tháng 8 năm 1912,7 tháng 8 năm 1912,1,1.000000,1
squad,1307,short-direct,Việt Nam,Việt Nam,Việt Nam,1,1.000000,1
squad,1308,mid-direct,Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,1,1.000000,1
squad,1319,short-direct,công chúa,công chúa nhà Hậu Lê,công chúa nhà Hậu Lê,0,0.620690,0
squad,1351,long-infer,bằng cách nghiền các hạt hay đun sôi trong nước hoặc dầu,nghiền các hạt hay đun sôi trong nước hoặc dầu,nghiền các hạt hay đun sôi trong nước hoặc dầu,0,0.901961,0
squad,1356,short-direct,tiếng Hy Lạp,tiếng Hy Lạp,tiếng Hy Lạp,1,1.000000,1
squad,1397,mid-direct,vật lý hạt,vật lý hạt,vật lý hạt,1,1.000000,1
squad,1400,short-direct,Imperatorskaya Akademiya Khudozhestv,Học viện Nghệ thuật Nga,Học viện Nghệ thuật Nga,0,0.338983,0
squad,1415,long-direct,Khổng Tử,Khổng Tử,Khổng Tử,1,1.000000,1
squad,1416,short-direct,1942,1942,1942,1,1.000000,1
squad,1434,short-direct,một nghìn tỷ phép tính/giây,một nghìn tỷ,một nghìn tỷ,0,0.615385,0
squad,1446,mid-direct,"hoá lí, hoá phân tích, hoá học hữu cơ, hoá sinh, hoá dược","hoá lí, hoá phân tích, hoá học hữu cơ, hoá sinh, hoá dược","hoá lí, hoá phân tích, hoá học hữu cơ, hoá sinh, hoá dược",1,1.000000,1
squad,1470,short-direct,8 đề cử Oscar,8 đề cử Oscar,8 đề cử Oscar,1,1.000000,1
squad,1489,long-direct,FISA,FISA,FISA,1,1.000000,1
squad,1494,long-direct,không thể nắm bắt,không thể nắm bắt,không thể nắm bắt,1,1.000000,1
squad,1502,mid-infer,khiến tôi nhận ra rằng họ sợ nhất là hoa nhài,khiến tôi nhận ra rằng họ sợ nhất là hoa nhài,khiến tôi nhận ra rằng họ sợ nhất là hoa nhài,1,1.000000,1
squad,1521,long-direct,Anne Hathaway,Anne Hathaway,Anne Hathaway,1,1.000000,1
squad,1548,long-direct,13 bang và ba lãnh thổ liên bang,13 bang và ba lãnh thổ liên bang,13 bang và ba lãnh thổ liên bang,1,1.000000,1
squad,1549,short-direct,50%,khoảng 50%,khoảng 50%,0,0.461538,0
squad,1563,short-direct,"Không quân Hoa Kỳ, Hải quân Hoa Kỳ, Không quân Ý, và Không quân Hoàng gia Anh.","Không quân Hoa Kỳ, Hải quân Hoa Kỳ, Không quân Ý, và Không quân Hoàng gia Anh","Không quân Hoa Kỳ, Hải quân Hoa Kỳ, Không quân Ý, và Không quân Hoàng gia Anh",1,1.000000,1
squad,1570,short-direct,8:00. ET/ PT,8:00,8:00,0,0.500000,0
squad,1619,long-direct,thứ bảy,thứ bảy,thứ bảy,1,1.000000,1
squad,1632,mid-direct,2004,2004,2004,1,1.000000,1
squad,1642,short-direct,an toàn,an toàn,an toàn,1,1.000000,1
squad,1648,short-direct,Không có thông tin cụ thể,Đoạn văn không cung cấp thông tin,Đoạn văn không cung cấp thông tin,0,0.689655,0
squad,1686,long-direct,Kim Jong-nam,Kim Jong-nam,Kim Jong-nam,1,1.000000,1
squad,1691,short-direct,Tiếng Anh,Tiếng Anh,Tiếng Anh,1,1.000000,1
squad,1697,mid-direct,240 cm,240 cm,240 cm,1,1.000000,1
squad,1718,short-direct,Sân bay quốc tế Galeão - Antônio Carlos Jobim,Sân bay quốc tế Galeão - Antônio Carlos Jobim,Sân bay quốc tế Galeão - Antônio Carlos Jobim,1,1.000000,1
squad,1723,short-direct,Nelumbo nucifera,Nelumbo nucifera,Nelumbo nucifera,1,1.000000,1
squad,1735,long-direct,Thomas Newcomen vào năm 1712,"Thomas Newcomen, năm 1712","Thomas Newcomen, năm 1712",0,0.905660,0
squad,1747,short-direct,triết lý Vệ Đà,Vệ Đà,Vệ Đà,0,0.526316,0
squad,1750,long-direct,10 tháng 11 năm 2015,10 tháng 11 năm 2015,10 tháng 11 năm 2015,1,1.000000,1
squad,1767,long-direct,"4,46 triệu km²","4,46 triệu km²","4,46 triệu km²",1,1.000000,1
squad,1774,short-direct,Đoạn văn không nêu vị trí của nhà máy Dingolfing,Đoạn văn không cung cấp thông tin,Đoạn văn không cung cấp thông tin,0,0.691358,0
squad,1777,short-direct,Doctors Without Borders,Doctors Without Borders,Doctors Without Borders,1,1.000000,1
squad,1797,short-direct,"môi trường sông, biển, nước lợ","sông, biển, nước lợ","sông, biển, nước lợ",0,0.775510,0
squad,1803,long-direct,Không được đề cập trong đoạn văn.,Không có thông tin,Không có thông tin,0,0.520000,0
squad,1829,mid-direct,Robinhood và Webull,Robinhood và Webull,Robinhood và Webull,1,1.000000,1
squad,1830,mid-direct,thứ 3,thứ 3,thứ 3,1,1.000000,1
squad,1855,long-direct,Những sai số trong việc đo đạc các số liệu đầu vào và sự hiểu biết chưa hoàn thiện về các hoạt động của khí quyển,Những sai số trong việc đo đạc các số liệu đầu vào và sự hiểu biết chưa hoàn thiện về các hoạt động của khí quyển,Những sai số trong việc đo đạc các số liệu đầu vào và sự hiểu biết chưa hoàn thiện về các hoạt động của khí quyển,1,1.000000,1
squad,1861,short-direct,"2,13 tỷ USD","2,13 tỷ USD","2,13 tỷ USD",1,1.000000,1
squad,1865,mid-direct,nem cuốn,nem cuốn,nem cuốn,1,1.000000,1
squad,1877,short-direct,"43,7 triệu dân","43,7 triệu dân","43,7 triệu dân",1,1.000000,1
squad,1881,short-direct,thuốc chống viêm non-steroid,thuốc chống viêm non-steroid,thuốc chống viêm non-steroid,1,1.000000,1
squad,1884,short-direct,người đầu tiên,người đầu tiên,người đầu tiên,1,1.000000,1
squad,1902,mid-direct,cơ học lượng tử,cơ học lượng tử,cơ học lượng tử,1,1.000000,1
squad,1973,short-direct,Thông tin không có trong đoạn văn.,Đoạn văn không cung cấp thông tin,Đoạn văn không cung cấp thông tin,0,0.878788,0
squad,1982,mid-direct,tất cả các tầng lớp xã hội Nhật Bản,tất cả các tầng lớp xã hội Nhật Bản,tất cả các tầng lớp xã hội Nhật Bản,1,1.000000,1
squad,1996,short-direct,thịt lợn,thịt lợn,thịt lợn,1,1.000000,1
squad,2017,short-direct,Georges Braque,Georges Braque,Georges Braque,1,1.000000,1
squad,2031,long-direct,1966,Năm 1966,Năm 1966,0,0.666667,0
squad,2041,mid-direct,Bombay,Bombay,Bombay,1,1.000000,1
squad,2061,short-direct,khoai tây và pho mát,khoai tây và pho mát,khoai tây và pho mát,1,1.000000,1
squad,2071,short-direct,Assisi,Assisi,Assisi,1,1.000000,1
squad,2090,mid-direct,1899,1899,1899,1,1.000000,1
squad,2134,long-infer,"bằng cách sử dụng quần áo, giày dép, lối sống, phụ kiện, cách trang điểm, kiểu tóc và tỷ lệ cơ thể","bằng cách sử dụng quần áo, giày dép, lối sống, phụ kiện, cách trang điểm, kiểu tóc và tỷ lệ cơ thể","bằng cách sử dụng quần áo, giày dép, lối sống, phụ kiện, cách trang điểm, kiểu tóc và tỷ lệ cơ thể",1,1.000000,1
squad,2174,mid-direct,Hai,hai,hai,1,1.000000,1
squad,2196,short-direct,Quyền Anh và Cờ Vua,Đoạn văn không cung cấp thông tin,Đoạn văn không cung cấp thông tin,0,0.384615,0
squad,2250,long-infer,"giải quyết vấn đề "" quá tải thông tin ""","giải quyết vấn đề "" quá tải thông tin ""","giải quyết vấn đề "" quá tải thông tin """,1,1.000000,1
squad,2251,mid-direct,Biểu tượng toàn cầu,Biểu tượng toàn cầu,Biểu tượng toàn cầu,1,1.000000,1
squad,2276,short-direct,Hoa Kỳ,Hoa Kỳ,Hoa Kỳ,1,1.000000,1
squad,2288,mid-direct,1983,1983,1983,1,1.000000,1
squad,2347,short-direct,Luân Đôn,Luân Đôn,Luân Đôn,1,1.000000,1
squad,2370,short-direct,một nhà lãnh đạo quân sự và chính trị gia người Việt Nam,một nhà lãnh đạo quân sự và chính trị gia người Việt Nam,một nhà lãnh đạo quân sự và chính trị gia người Việt Nam,1,1.000000,1
squad,2371,short-direct,"trường THPT chuyên Phan Bội Châu, Nghệ An",THPT chuyên Phan Bội Châu,THPT chuyên Phan Bội Châu,0,0.757576,0
squad,2372,long-direct,cấp độ nguyên tử hay ở hạt hạ nguyên tử,cấp độ nguyên tử hay ở hạt hạ nguyên tử,cấp độ nguyên tử hay ở hạt hạ nguyên tử,1,1.000000,1
squad,2399,mid-direct,thứ hai,lớn thứ hai,lớn thứ hai,0,0.777778,0
squad,2422,long-direct,thời Đế quốc La Mã,Đế quốc La Mã,Đế quốc La Mã,0,0.838710,0
squad,2435,long-direct,633–656,633–656,633–656,1,1.000000,1
squad,2437,short-direct,Nguyễn Huệ,Nguyễn Huệ,Nguyễn Huệ,1,1.000000,1
squad,2461,short-direct,"Bắc Mỹ, Châu Âu và Úc","Bắc Mỹ, Châu Âu và Úc","Bắc Mỹ, Châu Âu và Úc",1,1.000000,1
squad,2480,short-direct,đau ngực dữ dội,đau ngực dữ dội,đau ngực dữ dội,1,1.000000,1
squad,2501,mid-infer,vì hoán đổi vị trí hai nhóm khác nhau bất kỳ sẽ tạo ra đồng phân lập thể,hoán đổi vị trí hai nhóm khác nhau bất kỳ sẽ tạo ra đồng phân lập thể,hoán đổi vị trí hai nhóm khác nhau bất kỳ sẽ tạo ra đồng phân lập thể,0,0.978723,0
squad,2539,mid-direct,Stephen Hawking,Stephen Hawking,Stephen Hawking,1,1.000000,1
squad,2579,short-direct,"Tư lệnh Lực lượng Đặc biệt Việt Nam Cộng hòa, kiêm Chỉ huy trưởng Lữ đoàn Liên binh Phòng vệ Phủ Tổng thống","Tư lệnh Lực lượng Đặc biệt Việt Nam Cộng hòa, kiêm Chỉ huy trưởng Lữ đoàn Liên binh Phòng vệ Phủ Tổng thống","Tư lệnh Lực lượng Đặc biệt Việt Nam Cộng hòa, kiêm Chỉ huy trưởng Lữ đoàn Liên binh Phòng vệ Phủ Tổng thống",1,1.000000,1
squad,2595,long-direct,4,4 giải Brit Awards,4 giải Brit Awards,0,0.105263,0
squad,2600,short-direct,Thể chế tự trị giáo đoàn,thể chế tự trị giáo đoàn,thể chế tự trị giáo đoàn,1,1.000000,1
squad,2607,mid-direct,Hồi giáo Shia,Hồi giáo Shia,Hồi giáo Shia,1,1.000000,1
squad,2611,long-direct,"Columbia, Challenger, Discovery, và Atlantis","Columbia, Challenger, Discovery, và Atlantis","Columbia, Challenger, Discovery, và Atlantis",1,1.000000,1
squad,2629,long-direct,7.662.000 tấn,7.662.000 tấn,7.662.000 tấn,1,1.000000,1
squad,2635,short-direct,Archelaus,Archelaus,Archelaus,1,1.000000,1
squad,2641,short-direct,4 hiệp,4 hiệp,4 hiệp,1,1.000000,1
squad,2666,mid-direct,"John Hus, hay John Huss","John Hus, hay John Huss","John Hus, hay John Huss",1,1.000000,1
squad,2698,mid-direct,"một món ăn bao gồm một con gà được lấy xương ra hết, nhồi vào một con vịt, rồi sau đó nhồi tiếp vào một con gà tây","một món ăn bao gồm một con gà được lấy xương ra hết, nhồi vào một con vịt, rồi sau đó nhồi tiếp vào một con gà tây","một món ăn bao gồm một con gà được lấy xương ra hết, nhồi vào một con vịt, rồi sau đó nhồi tiếp vào một con gà tây",1,1.000000,1
squad,2708,long-direct,Toronto,Toronto,Toronto,1,1.000000,1
squad,2738,short-direct,phụ nữ Việt Nam,phụ nữ Việt Nam,phụ nữ Việt Nam,1,1.000000,1
squad,2741,long-direct,1516,1516,1516,1,1.000000,1
squad,2742,mid-direct,4 tháng 2 năm 2004,4 tháng 2 năm 2004,4 tháng 2 năm 2004,1,1.000000,1
squad,2792,short-direct,Việt Nam,Việt Nam,Việt Nam,1,1.000000,1
squad,2799,long-direct,Đại Nam,Đại Nam,Đại Nam,1,1.000000,1
squad,2805,long-direct,7 tháng 5 năm 1840,7 tháng 5 năm 1840,7 tháng 5 năm 1840,1,1.000000,1
squad,2816,short-direct,Bến tàu Valongo,Bến tàu Valongo,Bến tàu Valongo,1,1.000000,1
squad,2817,short-direct,Hãn quốc Kim Trướng,Hãn quốc Kim Trướng,Hãn quốc Kim Trướng,1,1.000000,1
squad,2841,mid-direct,3 tháng 1 năm 1969,3 tháng 1 năm 1969,3 tháng 1 năm 1969,1,1.000000,1
squad,2850,short-direct,Có,Có,Có,1,1.000000,1
squad,2856,short-direct,Đoạn văn không nêu số môn thi đấu chính thức của Thế vận hội Mùa hè,Đoạn văn không cung cấp thông tin này,Đoạn văn không cung cấp thông tin này,0,0.615385,0
squad,2866,short-direct,75 ngày,75 ngày,75 ngày,1,1.000000,1
squad,2886,short-direct,tỉnh An Huy,An Huy,An Huy,0,0.705882,0
squad,2902,short-direct,một người giữ vai trò quan trọng trong Đảng ở thời kỳ đầu,một người giữ vai trò quan trọng,một người giữ vai trò quan trọng,0,0.719101,0
squad,2921,long-infer,"giáo dục tuổi ấu thơ, giáo dục tiểu học, giáo dục trung học, và giáo dục đại học","giáo dục tuổi ấu thơ, giáo dục tiểu học, giáo dục trung học, và giáo dục đại học","giáo dục tuổi ấu thơ, giáo dục tiểu học, giáo dục trung học, và giáo dục đại học",1,1.000000,1
squad,2941,long-infer,một Hoàng đế tài giỏi,một Hoàng đế tài giỏi,một Hoàng đế tài giỏi,1,1.000000,1
squad,2950,long-direct,"cải tạo kinh tế, văn hóa, thay đổi hệ thống giáo dục cũ, xây dựng bao cấp, quốc hữu hóa tư sản, xóa bỏ tư hữu cũng như kinh tế thị trường ở miền Nam, tổ chức học tập cải tạo, rà soát lý lịch đối với tất cả những người từng phục vụ trong chính quyền cũ cùng với gia đình của họ","cải tạo kinh tế, văn hóa, thay đổi hệ thống giáo dục cũ, xây dựng bao cấp, quốc hữu hóa tư sản, xóa bỏ tư hữu cũng như kinh tế thị trường ở miền Nam, tổ chức học tập cải","cải tạo kinh tế, văn hóa, thay đổi hệ thống giáo dục cũ, xây dựng bao cấp, quốc hữu hóa tư sản, xóa bỏ tư hữu cũng như kinh tế thị trường ở miền Nam, tổ chức học tập cải",0,0.759551,0
squad,2968,long-direct,động cơ nhiệt,động cơ nhiệt,động cơ nhiệt,1,1.000000,1
squad,2971,mid-direct,"hầu hết toàn bộ Mexico, Trung Mỹ và Nam Mỹ, ngoại trừ các lãnh thổ nói tiếng Anh hoặc tiếng Hà Lan","hầu hết toàn bộ Mexico, Trung Mỹ và Nam Mỹ","hầu hết toàn bộ Mexico, Trung Mỹ và Nam Mỹ",0,0.600000,0
squad,3004,long-direct,hơn 585 triệu USD,hơn 585 triệu USD,hơn 585 triệu USD,1,1.000000,1
squad,3031,short-direct,đại hội kết tập kinh điển Phật giáo lần thứ nhất,đại hội kết tập kinh điển Phật giáo lần thứ nhất,đại hội kết tập kinh điển Phật giáo lần thứ nhất,1,1.000000,1
squad,3035,long-direct,khoảng năm 1860,vào khoảng năm 1860,vào khoảng năm 1860,0,0.882353,0
squad,3037,long-direct,nửa đầu thế kỷ 19,nửa đầu thế kỷ 19,nửa đầu thế kỷ 19,1,1.000000,1
squad,3038,long-direct,1995,1995,1995,1,1.000000,1
squad,3041,short-direct,19 tháng 1 năm 1946,19 tháng 1 năm 1946,19 tháng 1 năm 1946,1,1.000000,1
squad,3048,short-direct,công ty OpenAI,công ty OpenAI,công ty OpenAI,1,1.000000,1
squad,3083,mid-direct,"nhà hóa học, nhà hóa sinh, nhà hoạt động vì hòa bình, tác giả và nhà giáo dục người Mỹ",người Mỹ,người Mỹ,0,0.170213,0
squad,3110,short-direct,Auto Union và NSU Motorenwerke AG,Auto Union và NSU Motorenwerke AG (NSU),Auto Union và NSU Motorenwerke AG (NSU),0,0.929577,0
squad,3116,short-direct,2 năm,2 năm,2 năm,1,1.000000,1
squad,3144,long-direct,Phòng thí nghiệm Vật lý Quốc gia,Phòng thí nghiệm Vật lý Quốc gia,Phòng thí nghiệm Vật lý Quốc gia,1,1.000000,1
squad,3166,mid-direct,M1140,M1140,M1140,1,1.000000,1
squad,3223,short-direct,"Giang Tô, Trung Quốc","Giang Tô, Trung Quốc","Giang Tô, Trung Quốc",1,1.000000,1
squad,3249,mid-direct,"nhiệt độ, áp suất, và thành phần của khối đá","Những thay đổi về nhiệt độ, áp suất, và thành phần của khối đá","Những thay đổi về nhiệt độ, áp suất, và thành phần của khối đá",0,0.830189,0
squad,3250,long-direct,Ulysses,tiểu thuyết bước ngoặt Ulysses,tiểu thuyết bước ngoặt Ulysses,0,0.378378,0
squad,3268,short-direct,Sergey Brin,Sergey Brin,Sergey Brin,1,1.000000,1
