dataset,item_id,stratum,question,context_words,raw_response
squad,975,short-infer,Biểu hiện của bệnh Crohn như thế nào?,135,"được đặc trưng có những vùng của dạ dày-ruột bị dày lên, có viêm lan ra tất cả các lớp, loét sâu, lớp viêm mạc nứt nẻ và sự có mặt của u hạt"
squad,982,mid-direct,"Với sức công phá là 1 triệu tấn, vũ khí hạt nhân có thể phá hủy được vùng có bán kính bao nhiêu?",306,100 - 160 km
squad,1025,mid-direct,"Trong năm 2001, Trường Xuân được trao tặng danh hiệu gì?",318,Thành phố vườn quốc gia
squad,1028,mid-direct,Súng PPSh-41 được chấp nhận trang bị vào thời điểm nào?,314,tháng 12 /1941
squad,1032,short-direct,Món bánh mì kẹp giăm bông là thành phần phổ biến của suất ăn gì?,139,ăn trưa
squad,1040,mid-direct,Tỉnh Newfoundland và Labrador từng là thuộc địa của quốc gia nào trước khi gia nhập Canada?,256,Anh Quốc
squad,1072,short-direct,Mark Cuban sinh vào ngày nào?,101,31 tháng 7 năm 1958
squad,1107,mid-infer,Tại sao HK được công nhận là một công ty đổi mới trong chế tạo vũ khí?,386,sử dụng các phân tử polyme trong thiết kế vũ khí và việc sử dụng một thanh ray dùng để gắn đèn pin trên súng ngắn
squad,1114,long-direct,BLEACH là bộ phim truyền hình anime thứ mấy phổ biến nhất tại Nhật Bản trong năm 2006?,514,thứ tư
squad,1140,short-direct,Những vai trò mà Hội nhắm đến là gì?,206,"nhấn mạnh vai trò của văn học trong việc phát triển sự hiểu biết lẫn nhau và (hiểu biết) văn hóa thế giới, đấu tranh cho quyền tự do ngôn luận, và hành động như là một tiếng nói mạnh mẽ đại"
squad,1191,long-direct,"Voyager 1 đã trải qua bao nhiêu ""làn sóng thần"" do sự phun trào nhật hoa từ Mặt Trời?",517,ba
squad,1192,mid-infer,Thế nào là một trung tâm bất đối xứng?,251,một trung tâm lập thể bao gồm một nguyên tử liên kết với 4 phối tử (nguyên tử hoặc nhóm nguyên tử) hay nhóm thế trong một cấu trúc không gian mà cấu trúc này không thể chồng khít lên hình ảnh phản
squad,1234,short-direct,Slam Dunk là bộ manga thể thao với bao nhiêu tập?,146,31 tập
squad,1265,short-infer,Tại sao Indonesia được coi là quốc gia của Batik?,226,nơi mà nghệ thuật Batik đạt đến đỉnh cao
squad,1306,short-direct,Võ Chí Công sinh vào ngày nào?,108,7 tháng 8 năm 1912
squad,1307,short-direct,Quốc gia nào là một quốc gia đơn đảng?,135,Việt Nam
squad,1308,mid-direct,Tên của cố Chủ tịch Việt Nam Dân chủ Cộng hoà là gì?,292,Hồ Chí Minh
squad,1319,short-direct,Lê Ngọc Hân là thành viên nào của gia đình Hậu Lê?,151,công chúa nhà Hậu Lê
squad,1351,long-infer,Làm thuốc nhuộm từ cây điều nhuộm như thế nào?,425,nghiền các hạt hay đun sôi trong nước hoặc dầu
squad,1356,short-direct,"Từ ""cinématographie"" trong tiếng Pháp xuất phát từ đâu?",105,tiếng Hy Lạp
squad,1397,mid-direct,Lĩnh vực khoa học nghiên cứu các hạt dưới nguyên tử là gì?,351,vật lý hạt
squad,1400,short-direct,Tên chính thức của Học viện Nghệ thuật Sankt-Peterburg là gì?,63,Học viện Nghệ thuật Nga
squad,1415,long-direct,Cổ cầm được liên kết với triết gia Trung Quốc cổ đại nào?,460,Khổng Tử
squad,1416,short-direct,"Tác phẩm ""New York City"" của Piet Mondrian được hoàn thành vào năm nào?",111,1942
squad,1434,short-direct,Một teraflop tương đương với hiệu suất bao nhiêu phép tính/giây?,122,một nghìn tỷ
squad,1446,mid-direct,Hoá học phức chất đang phát triển rực rỡ và hội tụ những thành tựu của những ngành khoa học nào?,348,"hoá lí, hoá phân tích, hoá học hữu cơ, hoá sinh, hoá dược"
squad,1470,short-direct,Bộ phim Moulin Rouge! nhận được bao nhiêu đề cử Oscar?,200,8 đề cử Oscar
squad,1489,long-direct,Giải Vô địch đua thuyền Thế giới được tổ chức bởi ai?,506,FISA
squad,1494,long-direct,Nghệ thuật trừu tượng có ý nghĩa gì trong một sự thể hiện hoàn hảo?,522,không thể nắm bắt
squad,1502,mid-infer,"Tại sao Ngải Vị Vị đã nói ""những kẻ sợ hoa nhài đã thường xuyên đưa tin về nó""?",373,khiến tôi nhận ra rằng họ sợ nhất là hoa nhài
squad,1521,long-direct,William Shakespeare kết hôn với ai?,530,Anne Hathaway
squad,1548,long-direct,Malaysia có bao nhiêu bang và lãnh thổ liên bang?,669,13 bang và ba lãnh thổ liên bang
squad,1549,short-direct,Kích thước không gian màu Adobe RGB (1998) bao gồm bao nhiêu phần trăm màu chỉ định bởi không gian màu CIELAB?,91,khoảng 50%
squad,1563,short-direct,Máy bay UAV MQ-9 Reaper đã được đưa vào sử dụng trong những lực lượng nào?,46,"Không quân Hoa Kỳ, Hải quân Hoa Kỳ, Không quân Ý, và Không quân Hoàng gia Anh"
squad,1570,short-direct,Chương trình The Amazing Race 17 được phát sóng vào thời gian nào trong các tối chủ nhật?,191,8:00
squad,1619,long-direct,Warren Buffett được tạp chí Forbes xếp ở vị trí người giàu thế giới thứ mấy?,410,thứ bảy
squad,1632,mid-direct,Hồ Ngọc Hà ra mắt album đầu tay vào năm nào?,317,2004
squad,1642,short-direct,Lưỡi dao của máy cắt cỏ được gỡ bỏ trong cuộc đua máy cắt cỏ để đảm bảo điều gì?,78,an toàn
squad,1648,short-direct,Rachael Yamagata có bài hát nào nổi tiếng?,104,Đoạn văn không cung cấp thông tin
squad,1686,long-direct,Kim Jong-un bị nghi ngờ đã ra lệnh ám sát ai tại Malaysia vào tháng 2 năm 2017?,589,Kim Jong-nam
squad,1691,short-direct,Những ngôn ngữ mà bốn quốc gia trong CANZUK sử dụng là gì?,132,Tiếng Anh
squad,1697,mid-direct,Kính viễn vọng Hubble được trang bị hệ thống máy tính và gương thu ánh sáng có đường kính bao nhiêu?,241,240 cm
squad,1718,short-direct,Sân bay nào kết nối thành phố Rio de Janeiro với các tuyến điểm trong và ngoài nước?,207,Sân bay quốc tế Galeão - Antônio Carlos Jobim
squad,1723,short-direct,Loài sen nào là quốc hoa của Ấn Độ?,198,Nelumbo nucifera
squad,1735,long-direct,Người đã phát triển động cơ thành công về mặt thương mại đầu tiên là ai và vào năm nào?,497,"Thomas Newcomen, năm 1712"
squad,1747,short-direct,Sri Aurobindo là một trong những lãnh tụ tinh thần của triết lý nào?,205,Vệ Đà
squad,1750,long-direct,Fallout 4 được phát hành vào ngày nào?,500,10 tháng 11 năm 2015
squad,1767,long-direct,ASEAN có diện tích đất là bao nhiêu?,412,"4,46 triệu km²"
squad,1774,short-direct,Xưởng sản xuất BMW Dingolfing nằm ở đâu?,169,Đoạn văn không cung cấp thông tin
squad,1777,short-direct,Tổ chức Bác sĩ không biên giới có tiếng Anh là gì?,121,Doctors Without Borders
squad,1797,short-direct,Họ Sò sống tập trung ở môi trường nào?,194,"sông, biển, nước lợ"
squad,1803,long-direct,Chiếc máy bay Solar Impulse 2 bay vòng quanh thế giới trong bao lâu?,556,Không có thông tin
squad,1829,mid-direct,Tại các ứng dụng giao dịch nào đã được sử dụng để xảy ra đợt bán non cổ phiếu GameStop Corp. (GME)?,322,Robinhood và Webull
squad,1830,mid-direct,Atorvastatin là loại thuốc được kê đơn nhiều thứ mấy tại Hoa Kỳ vào năm 2016?,231,thứ 3
squad,1855,long-direct,Những yếu tố nào dẫn đến việc công tác dự báo trở nên ít chính xác hơn?,401,Những sai số trong việc đo đạc các số liệu đầu vào và sự hiểu biết chưa hoàn thiện về các hoạt động của khí quyển
squad,1861,short-direct,Doanh thu của bộ môn thể thao điện tử Free Fire trong năm 2020 là bao nhiêu?,209,"2,13 tỷ USD"
squad,1865,mid-direct,Gỏi cuốn được gọi là gì trong phương ngữ Bắc bộ?,244,nem cuốn
squad,1877,short-direct,Số dân của Liêu Ninh là bao nhiêu?,199,"43,7 triệu dân"
squad,1881,short-direct,Aspirin thuộc nhóm thuốc nào?,85,thuốc chống viêm non-steroid
squad,1884,short-direct,"Krzysztof Jerzy Wielicki là người thứ mấy leo lên cả 3 đỉnh Everest, Kangchenjunga và Lhotse trong cùng một mùa đông?",112,người đầu tiên
squad,1902,mid-direct,Nguyên lý bất định là một nguyên lý quan trọng của lĩnh vực nào?,241,cơ học lượng tử
squad,1973,short-direct,"Ai là người đạo diễn phim ""Cùng Ngắm Mưa Sao Băng""?",40,Đoạn văn không cung cấp thông tin
squad,1982,mid-direct,Ikebana sau đó trở thành môn nghệ thuật dành cho ai?,344,tất cả các tầng lớp xã hội Nhật Bản
squad,1996,short-direct,Thịt nào đứng đầu trong số các loại thịt được tiêu thụ nhiều nhất trên thế giới?,170,thịt lợn
squad,2017,short-direct,Ai là người sáng lập trường phái lập thể trong hội họa và điêu khắc cùng với Picasso?,139,Georges Braque
squad,2031,long-direct,"Năm nào, người Rapa Nui được cấp quyền công dân Chile?",460,Năm 1966
squad,2041,mid-direct,Mumbai trước đây được gọi là gì?,314,Bombay
squad,2061,short-direct,Những nguyên liệu đơn giản nào được sử dụng để làm món ăn truyền thống của Thụy Sĩ?,70,khoai tây và pho mát
squad,2071,short-direct,Thánh Phanxicô thành Assisi sinh ở đâu?,85,Assisi
squad,2090,mid-direct,Claude Monet bắt đầu vẽ hoa súng vào năm nào?,299,1899
squad,2134,long-infer,Thời trang thể hiện thẩm mỹ như thế nào?,403,"bằng cách sử dụng quần áo, giày dép, lối sống, phụ kiện, cách trang điểm, kiểu tóc và tỷ lệ cơ thể"
squad,2174,mid-direct,Có bao nhiêu phó thư ký trong Hội đồng Kinh tế quốc gia?,379,hai
squad,2196,short-direct,Các vận động viên thi đấu theo luật nào trong Boxing Cờ vua?,98,Đoạn văn không cung cấp thông tin
squad,2250,long-infer,PIM có thể giúp cá nhân và tổ chức làm việc hiệu quả như thế nào?,709,"giải quyết vấn đề "" quá tải thông tin """
squad,2251,mid-direct,John Michael Osbourne nhận giải gì tại giải Âm nhạc châu Âu của MTV 2014?,397,Biểu tượng toàn cầu
squad,2276,short-direct,Hệ thống giải thưởng Oscar thuộc quốc gia nào?,148,Hoa Kỳ
squad,2288,mid-direct,Lê Diệu Tường gia nhập TVB vào năm nào?,293,1983
squad,2347,short-direct,"Tác phẩm ""Quý bà cầm quạt"" được bán đấu giá ở đâu?",148,Luân Đôn
squad,2370,short-direct,Võ Nguyên Giáp là ai?,173,một nhà lãnh đạo quân sự và chính trị gia người Việt Nam
squad,2371,short-direct,Nguyễn Tất Nghĩa học ở trường nào?,166,THPT chuyên Phan Bội Châu
squad,2372,long-direct,Cơ học lượng tử miêu tả các tính chất vật lý của tự nhiên ở cấp độ nào?,459,cấp độ nguyên tử hay ở hạt hạ nguyên tử
squad,2399,mid-direct,Nam Kinh là thành phố trung tâm thương mại lớn thứ mấy ở Đông Trung Quốc?,365,lớn thứ hai
squad,2422,long-direct,Loài sư tử đã được nuôi nhốt từ thời đại nào?,700,Đế quốc La Mã
squad,2435,long-direct,Triều đại Sassanid của Ba Tư kết thúc sau cuộc chinh phạt của quân Hồi giáo vào năm nào?,636,633–656
squad,2437,short-direct,Lê Ngọc Hân có tình yêu đẹp đẽ với ai?,151,Nguyễn Huệ
squad,2461,short-direct,Trò chơi Just Dance được phát hành ở những khu vực nào?,51,"Bắc Mỹ, Châu Âu và Úc"
squad,2480,short-direct,Hoại tử cơ tim gây ra triệu chứng gì?,76,đau ngực dữ dội
squad,2501,mid-infer,Trung tâm lập thể là một yếu tố quan trọng trong phân tử hữu cơ vì sao?,251,hoán đổi vị trí hai nhóm khác nhau bất kỳ sẽ tạo ra đồng phân lập thể
squad,2539,mid-direct,Bức xạ Hawking được đặt theo tên của ai?,382,Stephen Hawking
squad,2579,short-direct,Lê Quang Tung từng giữ chức vụ nào?,147,"Tư lệnh Lực lượng Đặc biệt Việt Nam Cộng hòa, kiêm Chỉ huy trưởng Lữ đoàn Liên binh Phòng vệ Phủ Tổng thống"
squad,2595,long-direct,Billie Eilish đã nhận được bao nhiêu giải Brit Awards?,492,4 giải Brit Awards
squad,2600,short-direct,Cấu trúc tổ chức của Báp-tít tuân theo thể chế nào?,229,thể chế tự trị giáo đoàn
squad,2607,mid-direct,Hussein-Ali Montazeri được biết đến như một Grand Marja của tôn giáo nào?,274,Hồi giáo Shia
squad,2611,long-direct,Tên của các tàu vũ trụ đầu tiên được chế tạo cho chuyến bay vũ trụ là gì?,572,"Columbia, Challenger, Discovery, và Atlantis"
squad,2629,long-direct,Con số chất nổ mà Không quân Hoa Kỳ đã sử dụng trong chiến tranh là bao nhiêu?,618,7.662.000 tấn
squad,2635,short-direct,Vua cuối cùng của Cappadocia là ai?,103,Archelaus
squad,2641,short-direct,Mỗi trận đấu bóng nước gồm bao nhiêu hiệp?,151,4 hiệp
squad,2666,mid-direct,Jan Hus còn được gọi là gì?,264,"John Hus, hay John Huss"
squad,2698,mid-direct,Turducken là gì?,245,"một món ăn bao gồm một con gà được lấy xương ra hết, nhồi vào một con vịt, rồi sau đó nhồi tiếp vào một con gà tây"
squad,2708,long-direct,Ở đâu phim Siêu đại chiến được quay?,441,Toronto
squad,2738,short-direct,"Hội Liên hiệp Phụ nữ Việt Nam là một tổ chức chính trị, xã hội của ai?",116,phụ nữ Việt Nam
squad,2741,long-direct,Vị hoàng đế Lê Chiêu Tông nhậm chức vào năm nào?,533,1516
squad,2742,mid-direct,Ngày nào Mark Zuckerberg tạo ra Facebook?,393,4 tháng 2 năm 2004
squad,2792,short-direct,Đại hội Thể thao Đông Nam Á 2021 diễn ra ở đâu?,49,Việt Nam
squad,2799,long-direct,Quốc gia Việt Nam đã được Minh Mạng đổi thành tên gì?,626,Đại Nam
squad,2805,long-direct,Tchaikovsky sinh vào ngày nào?,639,7 tháng 5 năm 1840
squad,2816,short-direct,Di sản mới nhất của Brasil được đưa vào danh sách là gì?,227,Bến tàu Valongo
squad,2817,short-direct,Rus Kiev đã trở thành một phần của đế chế nào sau cuộc xâm lược của Mông Cổ?,227,Hãn quốc Kim Trướng
squad,2841,mid-direct,Schumacher sinh ngày nào?,367,3 tháng 1 năm 1969
squad,2850,short-direct,Chúng ta có vắc-xin phòng viêm gan A không?,112,Có
squad,2856,short-direct,Có bao nhiêu môn thi đấu chính thức trong Thế vận hội Mùa hè?,128,Đoạn văn không cung cấp thông tin này
squad,2866,short-direct,Tổng số ngày đàm phán để hình thành hiệp định là bao nhiêu ngày?,166,75 ngày
squad,2886,short-direct,Hợp Phì là thành phố của tỉnh nào?,49,An Huy
squad,2902,short-direct,Nguyễn Thị Minh Khai là gì trong Đảng?,70,một người giữ vai trò quan trọng
squad,2921,long-infer,Giáo dục được chia thành các giai đoạn như thế nào?,460,"giáo dục tuổi ấu thơ, giáo dục tiểu học, giáo dục trung học, và giáo dục đại học"
squad,2941,long-infer,Trần Thánh Tông được mô tả như thế nào trong sử sách?,515,một Hoàng đế tài giỏi
squad,2950,long-direct,Chính quyền mới sau khi tái thống nhất Việt Nam đã tiến hành những cải cách gì?,618,"cải tạo kinh tế, văn hóa, thay đổi hệ thống giáo dục cũ, xây dựng bao cấp, quốc hữu hóa tư sản, xóa bỏ tư hữu cũng như kinh tế thị trường ở miền Nam, tổ chức học tập cải"
squad,2968,long-direct,Động cơ đốt trong là loại động cơ gì?,534,động cơ nhiệt
squad,2971,mid-direct,Vùng Mỹ Latinh bao gồm những khu vực nào?,336,"hầu hết toàn bộ Mexico, Trung Mỹ và Nam Mỹ"
squad,3004,long-direct,"Tác phẩm ""Người Sắt"" thu về bao nhiêu tiền doanh thu?",607,hơn 585 triệu USD
squad,3031,short-direct,Ma-ha-ca-diếp đã tổ chức sự kiện gì trong đạo Phật?,192,đại hội kết tập kinh điển Phật giáo lần thứ nhất
squad,3035,long-direct,Động cơ đốt trong được ứng dụng thương mại vào thời gian nào?,534,vào khoảng năm 1860
squad,3037,long-direct,Bach được công nhận là nhà soạn nhạc vĩ đại vào thời điểm nào?,416,nửa đầu thế kỷ 19
squad,3038,long-direct,Led Zeppelin được xướng danh tại Đại sảnh Danh vọng Rock and Roll vào năm nào?,637,1995
squad,3041,short-direct,Dolly Parton sinh vào ngày nào?,108,19 tháng 1 năm 1946
squad,3048,short-direct,Ai đã phát triển ChatGPT?,139,công ty OpenAI
squad,3083,mid-direct,Linus Carl Pauling là người gì?,267,người Mỹ
squad,3110,short-direct,Tập đoàn Volkswagen AG mua lại tài sản của những công ty nào để tái sử dụng tên Audi?,167,Auto Union và NSU Motorenwerke AG (NSU)
squad,3116,short-direct,Ông Võ Chí Công có thời gian làm chức vụ Bộ trưởng Bộ Nông nghiệp trong bao lâu?,108,2 năm
squad,3144,long-direct,Alan Turing làm việc ở đâu sau Chiến tranh thế giới thứ hai?,673,Phòng thí nghiệm Vật lý Quốc gia
squad,3166,mid-direct,Hệ thống HIMARS dựa trên khung gầm của xe tải nào?,397,M1140
squad,3223,short-direct,Tiểu long bao là loại màn thầu hấp nổi tiếng ở đâu?,135,"Giang Tô, Trung Quốc"
squad,3249,mid-direct,Những gì có thể làm thay đổi đặc điểm khoáng vật học của một loại đá?,301,"Những thay đổi về nhiệt độ, áp suất, và thành phần của khối đá"
squad,3250,long-direct,Tác phẩm nổi tiếng nhất của James Joyce là gì?,530,tiểu thuyết bước ngoặt Ulysses
squad,3268,short-direct,"Khi thành lập công cụ tìm kiếm Google, Lawrence Edward Page cùng với ai?",125,Sergey Brin
squad,3292,short-infer,Công nghệ PµSL giúp kiểm soát các đặc tính vật liệu như thế nào?,131,bằng cách điều khiển cường độ ánh sáng điểm ảnh riêng lẻ
squad,3300,long-direct,Lý Nhân Tông mất vào ngày nào?,459,15 tháng 1 năm 1128
drop,30,count,"Năm 1301, tổng số chức vụ đặc biệt nhắc đến trong bộ Hộ là bao nhiêu (chỉ tính số chức vụ không tính số lượng)?",258,13
drop,60,count,"Từ ngày 17 tháng 9 năm 1945 đến năm 1982, có bao nhiêu mệnh giá tiền giấy khác nhau được phát hành tại Nepal?",107,8
drop,138,selection,Mỗi hộ trung bình có quy mô bao nhiêu?,171,"2,60"
drop,174,comparison,"Trong các nhóm tuổi, nhóm nào có tỉ lệ thấp nhất?",144,"11,60%"
drop,193,add_sub,số người thiệt mạng và bị thương của Quốc dân Cách mệnh Quân chênh lệch nhau bao nhiêu?,187,1.320.000 người
drop,200,selection,Sự tăng trưởng dân số từ năm 2013 đến năm 2014 của South Carolina là bao nhiêu người?,106,63.664
drop,253,add_sub,"Từ cuộc điều tra dân số đầu tiên vào năm 1954 đến cuộc điều tra thứ tư năm 1990, dân số người Pa Dí tăng thêm bao nhiêu người?",124,5.864
drop,273,count,Có bao nhiêu nhóm tù nhân được đề cập trong số liệu?,124,4
drop,301,comparison,tỷ lệ phần trăm người Mỹ bản xứ cao hay thấp hơn người Châu Á Thái Bình Dương?,119,cao
drop,316,comparison,Số hộ gia đình nhiều hơn hay ít hơn số gia đình sống trong quận năm 2010?,148,nhiều hơn
drop,357,selection,Số lượng người Israel là người Cơ Đốc giáo phi Ả Rập và người không tôn giáo theo đăng ký dân sự chiếm bao nhiêu phần trăm dân số nước này?,135,"4,8%"
drop,385,comparison,"Trong số các cầu thủ được nêu, ai có số lượng mùa giải thi đấu cho A.C. Milan ít nhất?",132,José Altafini
drop,420,selection,"Trong điều tra dân số năm 2000, tổng số người Hispanic hay Latino thuộc một chủng tộc nào chiếm bao nhiêu phần trăm so với tổng số dân cư trong quận?",119,"5,12%"
drop,444,add_sub,"Khi cộng số ca nhiễm mới ghi nhận ở Mỹ và Ý, tổng số ca nhiễm mới là bao nhiêu?",127,213.427
drop,514,selection,Có bao nhiêu kênh tắt sóng sau chương trình giao thừa?,142,3 kênh
drop,583,comparison,So sánh tổng số lượng các tiểu đoàn trong Phòng không và Thiết giáp.,122,Phòng không: 4; Thiết giáp: 2
drop,713,comparison,"Trong các năm từ 1952 đến 1954, năm nào Pháp viện trợ ít tiền nhất cho quân đội Quốc gia Việt Nam?",137,1952
drop,726,selection,Diện tích tự nhiên của xã Sơn Bình so với diện tích tự nhiên còn lại của xã Sơn Kiên lớn hơn hay nhỏ hơn?,104,nhỏ hơn
drop,939,count,Vos đã tham gia bao nhiêu công việc/khoá học khác nhau từ tháng 4 năm 1917 đến tháng 5 năm 1940?,221,8
drop,980,comparison,Ngành nào đạt tỷ lệ hoàn thành kế hoạch thấp nhất trong năm 2018?,118,ngành xây dựng
