id,question,prompt,raw_response,answer
28-0050,Câu nhận định nào trong số các câu sau là đúng?,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Câu nhận định nào trong số các câu sau là đúng?

A. Các nước có thể có mức GDP bình quân khác nhau nhưng đều tăng trưởng với tỷ lệ như nhau
B. Các nước có thể có tỷ lệ tăng trưởng khác nhau nhưng mức GDP bình quân của mỗi nước là như nhau
C. Các nước đều có tốc độ tăng trưởng và mức sản lượng như nhau vì mỗi nước đều có được các nhân tố sản xuất giống nhau
D. Mức GDP bình quân cũng như tốc độ tăng trưởng của các nước có sự khác nhau lớn, và theo thời gian, các nước nghèo có thể trở nên giàu một cách tương đối
Đáp án: ",D,D
28-0051,"Một giám đốc bị mất việc do công ty làm ăn thua lỗ. Ông ta nhận được khoản trợ cấp thôi việc 50 triệu đồng thay vì tiền lương 100 triệu Đ/năm trước đây. Vợ ông ta bắt đầu đi làm với mức lương 10 triệu Đ/năm. Con gái ông ta vẫn làm công việc như cũ, nhưng tăng thêm khoản đóng góp cho bố mẹ 5 triệu Đ/Năm. Phần đóng góp của gia đình này vào tổng thu nhập quốc dân trong năm sẽ giảm đi:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Một giám đốc bị mất việc do công ty làm ăn thua lỗ. Ông ta nhận được khoản trợ cấp thôi việc 50 triệu đồng thay vì tiền lương 100 triệu Đ/năm trước đây. Vợ ông ta bắt đầu đi làm với mức lương 10 triệu Đ/năm. Con gái ông ta vẫn làm công việc như cũ, nhưng tăng thêm khoản đóng góp cho bố mẹ 5 triệu Đ/Năm. Phần đóng góp của gia đình này vào tổng thu nhập quốc dân trong năm sẽ giảm đi:

A. 50 triệu Đ
B. 65 triệu Đ
C. 75 triệu Đ
D. 85 triệu Đ
E. 90 triệu Đ
Đáp án: ",B,B
28-0052,Điều nào sau đây sẽ khiến cho CPI tăng nhiều hơn so với chỉ số điều chỉnh GDP?,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Điều nào sau đây sẽ khiến cho CPI tăng nhiều hơn so với chỉ số điều chỉnh GDP?

A. Tăng giá xe đạp Thống Nhất
B. Tăng giá xe tăng do Bộ Quốc Phòng mua
C. Tăng giá máy bay chiến đấu sản xuất trong nước và được bán cho Lào
D. Tăng giá xe máy Spacy được sản xuất ở Nhật và bán ở Việt Nam
E. Tăng  giá máy kéo hiệu Bông Sen
Đáp án: ",B,B
28-0053,"Nếu CPI của năm 1995 là 136,5 và tỉ lệ lạm phát của năm 1995 là 5% thì CPI của năm 1994 là:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Nếu CPI của năm 1995 là 136,5 và tỉ lệ lạm phát của năm 1995 là 5% thì CPI của năm 1994 là:

A. 135
B. 125
C. 131,5
D. 130
E. 105
Đáp án: ",D,D
28-0054,Giả sử thu nhập của bạn tăng từ 19 triệu lên 31 triệu Đ. Trong giai đoạn đó CPI tăng từ 122 lên 169. Nhìn chung mức sống của bạn đã:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Giả sử thu nhập của bạn tăng từ 19 triệu lên 31 triệu Đ. Trong giai đoạn đó CPI tăng từ 122 lên 169. Nhìn chung mức sống của bạn đã:

A. Giảm
B. Tăng
C. Không đổi
D. Không thể kết luận vì không biết năm cơ sở
Đáp án: ",B,B
28-0055,Giả sử đầu tư hoàn toàn không nhạy cảm với lãi suất khi đó:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Giả sử đầu tư hoàn toàn không nhạy cảm với lãi suất khi đó:

A. Lãi suất không thể giảm bởi sự tác động của chính sách tài khoá và chính sách tiền tệ
B. Nền kinh tế không thể bị tác động bởi chính sách tài khoá hoặc chính sách tiền tệ
C. Chính sách tài khoá sẽ rất hiệu quả trong việc kiểm soát tổng cầu
D. Chính sách tài khoá hoàn toàn không có hiệu quả trong việc kiểm soát tổng cầu
Đáp án: ",C,C
28-0056,"Khi mức giá giảm, đường cầu tiền sẽ chuyển dịch về","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khi mức giá giảm, đường cầu tiền sẽ chuyển dịch về

A. Bên phải làm cho lãi suất giảm xuống
B. Bên phải làm cho lãi suất tăng lên
C. Bên trái làm cho lãi suất tăng lên
D. Bên trái làm cho lãi suất giảm xuống
Đáp án: ",D,D
28-0057,Chính sách tài khoá và tiền tệ mở rộng sẽ làm cho:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Chính sách tài khoá và tiền tệ mở rộng sẽ làm cho:

A. Đường tổng cung dịch chuyển sang trái
B. Đường tổng cầu dịch chuyển sang phải
C. Người tiêu dùng và doanh nghiệp chi tiêu ít hơn
D. Sản lượng được sản xuất ra có xu hướng giảm
Đáp án: ",B,B
28-0058,"Giả sử chính phủ muốn kích thích đầu tư nhưng hầu như không thay đổi thu nhập, theo bạn chính phủ cần sử dụng chính sách nào?","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Giả sử chính phủ muốn kích thích đầu tư nhưng hầu như không thay đổi thu nhập, theo bạn chính phủ cần sử dụng chính sách nào?

A. Giảm chi tiêu của chính phủ kèm với chính sách tiền tệ mở rộng
B. Giảm thuế đi kèm với chính sách tiền tệ thắt chặt
C. Trợ cấp cho đầu tư đi kèm với chính sách tiền tệ mở rộng
D. Giảm thuế thu nhập đi kèm với chính sách tài khoá mở rộng
Đáp án: ",A,A
28-0059,Một lý do làm cho đường tổng cung có độ dốc dương là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Một lý do làm cho đường tổng cung có độ dốc dương là:

A. Nhu cầu của các tác nhân trong nền kinh tế tăng khi mặt bằng giá cả tăng
B. Các doanh nghiệp sẽ bán được nhiều sản phẩm hơn khi giá cả tăng
C. Lợi nhuận của các doanh nghiệp tăng thúc đẩy các doanh nghiệp sản xuất nhiều hơn
D. Các hãng kinh doanh sẽ có xu hướng tăng sản lượng khi giá cả tăng
Đáp án: ",D,D
28-0060,Khi sản lượng giảm xuống trong điều kiện lượng cung tiền không thay đổi thì,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Khi sản lượng giảm xuống trong điều kiện lượng cung tiền không thay đổi thì

A. Mức cầu về tiền tăng lên
B. Lãi suất cân bằng tăng lên
C. Lãi suất cân bằng giảm xuống
D. Lãi suất cân bằng không đổi
Đáp án: ",B,B
28-0061,"Trong mô hình tổng cung tổng cầu, đường tổng cung dịch chuyển sang trái là do:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong mô hình tổng cung tổng cầu, đường tổng cung dịch chuyển sang trái là do:

A. Chính phủ tăng thuế
B. Gia các yếu tố sản xuất tăng lên
C. Năng lực sản xuất của quốc gia tăng lên
D. Các câu trên đều sai
Đáp án: ",B,B
28-0062,Số nhân tiền tổng hợp phản ánh:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Số nhân tiền tổng hợp phản ánh:

A. Lượng tiền giao dịch của nền kinh tế có được từ 1 đơn vị tiền cơ sở
B. Lượng tiền giao dịch của nền kinh tế có được từ 1 đơn vị tiền ký gởi
C. Cả (a) và (b) đều đúng
D. Cả (a) và (b) đều sai
Đáp án: ",A,A
28-0063,Giá trị sản lượng của một hãng trừ đi chi phí về các sản phẩm trung gian được gọi là:,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Giá trị sản lượng của một hãng trừ đi chi phí về các sản phẩm trung gian được gọi là:

A. Sản xuất gián tiếp
B. Lợi nhuận ròng
C. Xuất khẩu ròng
D. Giá trị gia tăng
Đáp án: ",D,D
28-0064,Đường thể hiện sự phối hợp sản lượng thực tế và lãi suất mà tại đó tổng chi tiêu dự kiến bằng sản lượng thực tế được gọi là :,"Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Đường thể hiện sự phối hợp sản lượng thực tế và lãi suất mà tại đó tổng chi tiêu dự kiến bằng sản lượng thực tế được gọi là :

A. Đường LM
B. Đường cầu về đầu tư
C. Đường IS
D. Đường tổng cầu
Đáp án: ",C,C
28-0065,"Giả sử rằng GDP là 4800, tiêu dùng là 3400, xuất khẩu ròng là 120, tiết kiệm là 400 và mua hàng hoá của chính phủ là 1200, khi đó:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Giả sử rằng GDP là 4800, tiêu dùng là 3400, xuất khẩu ròng là 120, tiết kiệm là 400 và mua hàng hoá của chính phủ là 1200, khi đó:

A. Đầu tư là 80
B. Thu nhập có thể sử dụng là 3800
C. Thu nhập khả dụng sẽ là 3800, đầu tư là 80, thâm hụt ngân sách là 200
D. Thâm hụt ngân sách là 200
Đáp án: ",C,C
28-0066,"Tại các điểm nằm phía trên và bên phải của đường IS, điều nào dưới đây là đúng:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Tại các điểm nằm phía trên và bên phải của đường IS, điều nào dưới đây là đúng:

A. Sản lượng thực tế lớn hơn tổng cầu, do đó có sự dư cung về hàng hoá
B. Sản lượng thực tế lớn hơn tổng cầu, do đó có sự dư cầu về hàng hoá
C. Tổng cầu lớn hơn sản lượng thực tế, do đó có sự dư cung về hàng hoá
D. Tổng cầu lớn hơn sản lượng thực tế do đó có sự dư cầu về hàng hoá
Đáp án: ",A,A
28-0067,"Trong mô hình IS – LM, khi chính phủ áp dụng đồng thời chính sách tài khóa mở rộng và chính sách tiền tệ thắt chặt thì:","Chỉ đưa ra chữ cái đứng trước câu trả lời đúng (A, B, C, D hoặc E) của câu hỏi trắc nghiệm sau: 
Trong mô hình IS – LM, khi chính phủ áp dụng đồng thời chính sách tài khóa mở rộng và chính sách tiền tệ thắt chặt thì:

A. Sản lượng chắc chắn tăng
B. Lãi suất chắc chắn tăng
C. Cả (a) và (b) đúng
D. Câu (a) và (b) sai
Đáp án: ",B,B
