annotator,model,dataset,item_id,stratum,decision,model_answer,corrected_answer,note
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2183,add_sub,accept,"0,40%",,"Tỷ lệ người Mỹ bản xứ 0,53% nhiều hơn người châu Á 0,13% đúng 0,40 điểm %."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3916,comparison,accept,25-44,,"Nhóm 25-44 chiếm 27,80% là tỷ lệ cao nhất trong các nhóm tuổi, model chọn đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5493,comparison,accept,202%,,"Tỷ lệ tăng kim ngạch xuất khẩu 202% cao hơn tăng thu ngân sách 43% so với cùng kỳ, model chỉ đúng tỷ lệ cao nhất."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1652,count,accept,10,,"Đoạn văn liệt kê 10 loại tiền giấy: 2, 5, 10, 20, 50, 100, 500, 1.000, 5.000 và 10.000 afghani."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4026,other,accept,1.000 afghani,,"1.000 afghani gấp đôi 500 afghani, model chọn đúng mệnh giá lớn hơn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,939,count,reject,8,9,"Đoạn văn nêu 9 công việc/khóa học riêng biệt (2 khóa học Gymnasium và Delft cộng 7 công việc: Deventer, Văn phòng Sáng chế, HĐND Rijswijk, lãnh đạo NVV, giám đốc đảng, tổng biên tập, HĐND Amsterdam); model đếm thiếu 1."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6827,selection,accept,"91,00",,"Đoạn văn ghi mỗi 100 nữ từ 18 tuổi trở lên có 91,00 nam giới, model trích đúng con số."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8786,add_sub,reject,"38,3%","44,3%","Tổng gốc Đức 15,0% + Ailen 11,8% + Anh 10,9% + Ý 6,6% bằng 44,3%, model tính ra 38,3% là sai phép cộng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1137,count,reject,6,5,"Ông bắn hạ 2 chiếc C-130, 1 máy bay không người lái, 1 A-37 và 1 L-19, tổng 5 chiếc; model đếm thành 6."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2166,selection,accept,1,,"Đoạn văn chỉ nêu đúng 1 máy bay không người lái bị bắn hạ ngày 15/1/1975, model trả lời đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4857,add_sub,reject,"1,5",52,"Diện tích nền trước 16x13=208 m², bệ giữa 13x12=156 m², chênh lệch là 52 m² chứ không phải 1,5."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8351,comparison,accept,350.000 USD,,"Giá cho thuê 330.000–350.000 USD/tháng, mức cao nhất là 350.000 USD, đúng theo đoạn văn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9928,selection,reject,282.929,2.858,Hỏi số ca tử vong TRONG ngày 3/12 = 2.858; model trả tổng lũy kế 282.929.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7511,selection,accept,"3,15%",,"Đoạn văn ghi rõ 3,15% dân số là người Hispanic hoặc Latin, khớp với câu hỏi."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8268,add_sub,accept,20.281,,"52.539 hộ trừ 32.258 gia đình bằng 20.281, phép tính đúng và có căn cứ."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9060,comparison,reject,"1,80%","Nhóm từ các chủng tộc khác (1,80%)","Câu hỏi 'cái nào' cần tên nhóm chủng tộc (1,80% là nhóm 'từ các chủng tộc khác'), mô hình chỉ trả con số nên sai dạng đáp án."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,385,comparison,reject,7 mùa giải,José Altafini,"Câu hỏi 'ai' cần tên cầu thủ có ít mùa giải nhất là José Altafini (7 mùa), mô hình trả '7 mùa giải' là sai dạng đáp án."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3224,selection,accept,Mauro Tassotti,,"Trong nhóm có thống kê số trận, Mauro Tassotti ít nhất với 583 trận, đúng theo đoạn văn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1986,comparison,accept,người da trắng,,"Người da trắng chiếm 96,39%, cao nhất trong các nhóm sắc tộc được nêu."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4402,selection,accept,"0,48%",,"Đoạn văn ghi rõ 0,48% dân số là người Hispanic hay Latino."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5218,selection,accept,Ngày 12 tháng 5 năm 2010,,"Đoạn văn nêu chuyến bay 771 rơi ngày 12 tháng 5 năm 2010, trả lời đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1467,comparison,accept,SF-2U,,"SF-2U chứa 50% tripolyphotphat natri trong khi SF-2 không có thành phần này (chỉ có trinatri photphat 30%), nên SF-2U cao hơn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1598,count,accept,4,,"Có 4 quốc gia được nêu tên (Anh, Italy, Pháp, Đức); EU và Schengen không phải quốc gia."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6527,comparison,accept,Anh,,"Tử vong trong ngày: Anh 428, Pháp 351, Italy 262, Đức 67 — Anh cao nhất."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8021,comparison,accept,Pháp,,"Nhập khẩu từ Pháp chiếm 16,6%, cao nhất so với Hà Lan 13%, Cameroon 9,7%, Mỹ 6,3%."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8750,add_sub,accept,"48,1",,"54,4% − 6,3% = 48,1 điểm phần trăm, phép tính đúng và có căn cứ."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1573,comparison,accept,tàu phóng lôi và tuần tiễu,,"Hải quân có gần 20 tàu phóng lôi và tuần tiễu, nhiều hơn 9 tàu tên lửa, nên đây là loại nhiều nhất."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,514,selection,accept,3 kênh,,"Sau chương trình giao thừa, 3 kênh AM 610 KHz, FM 95,6 MHz và FM 87,7 MHz tắt sóng, đúng theo đoạn văn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1706,add_sub,reject,"56,366",44.789,"39.985.427 − 39.940.638 = 44.789 m, mô hình tính ra 56.366 là sai số học."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3101,selection,accept,66%,,Đoạn văn nêu trực tiếp 726 trực thăng tổn thất chiếm 66% trong khoảng 1.100 chiếc được huy động.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3174,comparison,accept,Không,,"Năm 2010 có 259,8 triệu người nói tiếng Nga, nhỏ hơn 300 triệu nên 'Không' là đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1753,comparison,accept,2,,"Chỉ Ba Đồn (200,81 ha) và Quảng Phong (470,04 ha) dưới 500 ha, tổng 2 phường."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8704,comparison,accept,Gent,,"Thắng Gent 10-2 (chênh 8 bàn) nhiều hơn thắng Košice 10-4 (chênh 6 bàn), câu trả lời đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2052,add_sub,accept,49.000,,"320.000 − 271.000 = 49.000 ca, phép tính đúng và có căn cứ trong đoạn văn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1962,count,reject,11,9,"Chỉ 9 lễ hội/kỷ niệm ghi rõ tổ chức theo tháng âm lịch (Bình Định 3, Bình Thuận 3, Cao Bằng 3); liên hoan Bình Phước và lễ Ka tê ghi dương lịch, Ramưwan không nêu tháng, nên 11 là đếm thừa."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,60,count,accept,8,,"Đếm các mệnh giá phát hành từ 1945 đến 1982: 5, 10, 100, 1000, 500, 50, 2, 20 rupee = 8 mệnh giá (tiền 1 rupee đã ngừng in, không tính)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5761,add_sub,reject,37,28,"Tàu container đang đặt thêm là 37, số tàu đặt thêm ở Dalian Yard là 9, chênh lệch phải là 37 − 9 = 28 chứ không phải 37."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7539,add_sub,reject,34.153,44.153,"Dân số năm 1999: Brive-la-Gaillarde 121.150 − Tulle 76.997 = 44.153 người, mô hình tính sai thành 34.153."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3298,add_sub,accept,150,,"Kỷ lục 1000 km đạt 1.822 km/h, chuyến bay 183 đạt 1.972 km/h, chênh lệch đúng 150 km/h."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2295,comparison,accept,Cỡ gia đình trung bình,,"Cỡ gia đình trung bình 3,00 lớn hơn cỡ hộ trung bình 2,50 nên đáp án của mô hình đúng hướng so sánh."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2270,selection,accept,5 chiếc,,"Trước đó đã thuê 2 chiếc, năm 2006 thuê thêm 3 chiếc (chiếc thứ 3 giao tháng 3/2007), tổng cộng 5 chiếc."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8335,add_sub,reject,"96,74%","96,56%","Người da trắng 95,84% cộng người Hispanic/Latino 0,72% bằng 96,56%; mô hình cộng nhầm 0,90% (hai hay nhiều chủng tộc)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,989,add_sub,reject,15-25 cm,19-31 cm,"Câu hỏi yêu cầu cộng hai đại lượng: trục cuống lá 15-25 cm + cuống lá 4-6 cm = 19-31 cm, mô hình chỉ chép lại khoảng 15-25 cm."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9380,selection,accept,69%,,"46% máy bay một động cơ cộng 23% đa động cơ bằng 69%, đúng tổng hai tỉ lệ nêu trong đoạn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6002,comparison,reject,"37,5 MW","Hai tổ máy có công suất bằng nhau (đều 37,5 MW)",Hỏi 'tổ máy nào lớn hơn' → phải nêu so sánh; hai tổ máy bằng nhau.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2331,count,reject,3,4,"Cú đúp ở Cúp quốc gia (2 bàn) + bàn gỡ 1-1 trước Schalke (1) + bàn đem về 1 điểm trước RB Leipzig (1) = 4 bàn, trận gặp Ingolstadt chỉ có kiến tạo."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6207,comparison,accept,Phương diện quân Kalinin,,Đoạn văn ghi rõ Zhukov là tư lệnh Phương diện quân Kalinin trước khi Koniev tiếp quản ngày 26 tháng 8.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2430,comparison,reject,thấp hơn,cao hơn,"Thị xã Giá Rai có 35.466,81 ha còn phường 1 chỉ 1.186,60 ha, nên diện tích thị xã cao hơn chứ không thấp hơn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2462,add_sub,accept,"6,01 USD",,"Giá thuê giảm từ 12 USD xuống 5,99 USD, mức giảm 12 − 5,99 = 6,01 USD là đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7624,count,reject,6,5,"Chỉ có 5 thông số trọng lượng nêu bằng kg: nguyên mẫu 2.238 và 2.950, Ki-61-I 3.130, Ki-61-KAI 2.630 và 3.470 (Ki-61-I không nêu trọng lượng tối đa)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9046,count,reject,5,4,Từ 1/2014 đến 5/2014: cú đúp gặp Sampdoria (2) + bàn gặp Juventus (1) + bàn ở chung kết Cúp quốc gia (1) = 4 bàn; các bàn ở Europa League thuộc 2015-16.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4622,count,accept,5,,"Các khu dân cư hiện nay gồm 5 làng: Thống Nhất, An Xuân, Phú Cường, Z4 và Phú Điền."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6579,count,accept,5,,"Đoạn văn giới thiệu 5 làng: An Xuân, Thống Nhất, Phú Điền, Phú Cường và Z4."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6607,add_sub,reject,32.200,32.100,Bắc Mỹ 42.700 − (châu Âu 10.500 + các nước còn lại 100) = 32.100 chiếc; mô hình bỏ sót 100 chiếc ở nhóm còn lại.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3069,comparison,accept,Iran,,"Iran 77 ca là mức cao nhất so với Ý 52, Hàn Quốc 29 và các nơi còn lại."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3166,comparison,accept,thị trấn Vân Du,,Trước sáp nhập (số liệu 2018) thị trấn Vân Du 2.925 người ít hơn xã Thành Vân 6.237 người.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7054,selection,accept,2.880,,"Đoạn văn nêu rõ 2.880 hộ gia đình (17,6%) được tạo thành từ các cá nhân."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3355,comparison,accept,lớn hơn,,"Năm 2019 thị trấn Phố Lu 15,03 km² lớn hơn xã Phố Lu 7,76 km², mô hình trả lời đúng hướng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3411,add_sub,accept,6,,"Từ mốc 2019 đến 2025 là 6 năm, mỗi năm thêm 1 tổ dân phố nên số tổ tăng thêm là 6, đúng như câu hỏi 'tăng thêm'."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4574,count,accept,1,,"Đoạn văn ghi chỉ tập đoàn quân xe tăng 4 được tính đến hết tháng 4 năm 1942, tức 1 tập đoàn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9295,other,accept,"4,56",,"Tự tính: 162.713 người chết / 35.650 người mất tích ≈ 4,56 lần, khớp đoạn văn."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3415,comparison,accept,Phần 1,,Phần 1 kết thúc 15/1/2019 sớm hơn Phần 2 kết thúc 7/10/2020.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3520,add_sub,accept,44,,"Hạng 2019 là 66, hạng 2017 là 22, chênh lệch 66 − 22 = 44."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4697,add_sub,accept,846,,Đường hạ cất cánh 3.250 m − đường lăn song song 2.404 m = 846 m.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6283,add_sub,accept,5,,4 bàn ở vòng loại cộng 1 bàn trước U-23 Iraq tại giải = tổng 5 bàn.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8895,comparison,accept,thấp hơn,,"Tỉ lệ nam/nữ từ 18 tuổi trở lên là 81,60 thấp hơn tỉ lệ chung 87,00."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3493,count,reject,Hai,Ba,"Có ba đô thị tách ra từ Hemne: Heim (1911), Snillfjord và Vinje (1924); Fossdalen chỉ chuyển đến Hemne."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9902,add_sub,reject,"14,9%","24,9%","Gốc Đức 41,4% trừ gốc Na Uy 16,5% bằng 24,9%, model tính sai thành 14,9%."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9750,comparison,reject,Ít,nhiều hơn,"Đầu 2003–2004 có 895 chiếc so với 840 chiếc năm 2006, tức là nhiều hơn chứ không ít."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,200,selection,accept,63.664,,Đoạn văn nêu dân số tăng 63.664 so với năm trước (2013→2014).
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,3815,add_sub,accept,"Quận Limoux, giảm 758 người",,"Quận Limoux giảm từ 42.247 (1990) xuống 41.489 (1999), tức giảm đúng 758 người."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4091,add_sub,accept,"9.060,05 ha",,"5.478,05 ha (Xuân Lao) + 3.582 ha (Nặm Lịch) = 9.060,05 ha."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,1723,count,reject,Bảy,Năm,"Đoạn văn nêu 5 tên ngôn ngữ dùng tại gia đình: Zulu, Xhosa, Tiếng Afrikaans, tiếng Anh, tiếng Hà Lan Nam Phi — không phải bảy."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,2989,comparison,reject,tiếng Hà Lan Nam Phi,Zulu,"Nhóm ngôn ngữ thứ hai tại gia đình: Anh 2,2 triệu, Hà Lan Nam Phi 1,1 triệu, Zulu 0,5 triệu — Zulu được chọn ít nhất."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4199,selection,accept,1920,,"Murakumo Nichi'ei (3/4/1855 – 1920), sống đến năm 1920."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4112,count,reject,Klin,Một,"Hỏi 'bao nhiêu địa điểm' → đáp án dạng số: 1 (Klin). Model trả tên địa điểm, sai dạng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,253,add_sub,accept,5.864,,13.739 (1990) − 7.875 (1954) = 5.864 người.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9213,comparison,accept,Bộ Tư pháp,,Bộ Tư pháp giam 1.649.804 tù nhân so với 650.000 của Bộ Công an — lớn hơn.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9318,selection,reject,2,Một,"Hai giải đầu Carlsen bất bại (+2−0, +3−0); chỉ giải Na Uy có 1 trận thua trước So (−1)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,10085,other,reject,"33,25%","49,92%","5,99/12 = 49,92% giá gốc; 33,25% là MỨC GIẢM."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4498,comparison,reject,32 năm,Nhóm 25 đến 44 tuổi,"Tuổi trung bình 32 nằm trong nhóm 25-44; hỏi 'nhóm tuổi nào' phải trả tên nhóm, không lặp lại '32 năm'."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4531,other,reject,Thấp hơn,cao hơn,"Cơ Tiền trung bộ có 12 đội × 5 thuyền = 60 thuyền, cao hơn 4 đội × 5 = 20 thuyền của nhóm thủy quân."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4598,add_sub,accept,"0,61",,"3,28 − 2,67 = 0,61, đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,4797,add_sub,accept,48.331,,Mỹ 78.532 − Italy 30.201 = 48.331 ca tử vong.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5748,comparison,reject,"510,01 ha",xã Thới Sơn,"Thới Sơn 1.211,64 ha lớn hơn Phước Thạnh 510,01 ha; model trả lời con số của xã nhỏ hơn, sai cả tên lẫn kiểu trả lời."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5057,selection,accept,"49,53%",,"Đoạn văn nêu rõ 49,53% người da trắng, câu trả lời trích đúng và có căn cứ."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5039,add_sub,reject,"""Chiến lược và nguồn cung trong các chiến dịch xâm lược Tây Âu thế kỷ thứ mười bốn""","""Vai trò quân sự của các ống kính Frankish - đánh giá lại"" (75-116, 41 trang)","Bài đầu dài 42 trang (75–116), dài hơn bài 'Chiến lược và nguồn cung' chỉ 38 trang (297–334)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5164,add_sub,reject,Không,Có,"16/21 (12/4/2011) cách 17/119 (19/7/2011) 98 ngày, gần hơn khoảng 101 ngày giữa 5/1 và 6/102 năm 2007."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5336,count,reject,4,5,'Các CLB địa phương khác' (4) + Hannover 96 → 5 CLB địa phương chơi tại sân.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7055,comparison,reject,Không,Có,"Eurovision bắt đầu 18/5, bầu cử 23/5 nên bầu cử diễn ra sau ngày bắt đầu cuộc thi."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5298,comparison,accept,tăng dần,,"Đoạn văn nêu sản lượng cá bạc má Bình Thuận 2003–2005 có xu hướng tăng dần (7,8% → 11,9% → 17,6%)."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5979,count,accept,4,,"Trong khoảng 4–12/1999 có 4 mốc tháng được ghi nhận sự kiện: 4, 7, 10 và 12."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,9044,comparison,reject,192.011,Số ca nhiễm mới (53.584) cao hơn số ca tử vong mới (1.052),Model lấy tổng ca tử vong tích lũy 192.011 thay vì so sánh ca mới; ca nhiễm mới 53.584 lớn hơn ca tử vong mới 1.052.
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8405,other,reject,"5,4 đạn",5,"Câu hỏi buộc tính 35 đạn ÷ 7 B-52 = 5; số 5,4 trong đoạn không khớp phép tính này."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,5868,selection,accept,"12,88%",,"Đoạn văn ghi 12,88% dân số là người Hispanic hay Latino, trích đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,7429,comparison,accept,lớn hơn,,"Ống tràng hoa ~2 cm dài hơn đài hoa ~1,5 cm nên 'lớn hơn' là đúng hướng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,8224,comparison,accept,Nigeria,,"Trong 5 nhóm đông nhất, Nigeria (17.642) có số lượng thấp nhất."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6383,add_sub,accept,"2,57%",,"0,18% (chủng tộc khác) + 2,39% (hai hay nhiều chủng tộc) = 2,57%, tính đúng."
nttung245,Qwen3_8-27B-Q4_K_M_gguf,drop,6643,add_sub,accept,10,,"Tăng từ 10 lên 20 pháo Kiểu 96, mức tăng là 10 khẩu."
