dataset,item_id,gold_answer
squad,227,"""bản Tuyên ngôn độc lập đầu tiên"""
squad,2276,Hoa Kỳ
squad,2288,1983
squad,2347,Luân Đôn
squad,2370,một nhà lãnh đạo quân sự và chính trị gia người Việt Nam
squad,2371,"trường THPT chuyên Phan Bội Châu, Nghệ An"
squad,2372,cấp độ nguyên tử hay ở hạt hạ nguyên tử
squad,2399,thứ hai
squad,24,tổng hợp hạt nhân và phân rã phóng xạ
squad,2422,thời Đế quốc La Mã
squad,2435,633–656
squad,2437,Nguyễn Huệ
squad,2461,"Bắc Mỹ, Châu Âu và Úc"
squad,2480,đau ngực dữ dội
squad,25,giải Oscar
squad,2501,vì hoán đổi vị trí hai nhóm khác nhau bất kỳ sẽ tạo ra đồng phân lập thể
squad,2539,Stephen Hawking
squad,2579,"Tư lệnh Lực lượng Đặc biệt Việt Nam Cộng hòa, kiêm Chỉ huy trưởng Lữ đoàn Liên binh Phòng vệ Phủ Tổng thống"
squad,2595,4
squad,2600,Thể chế tự trị giáo đoàn
squad,2607,Hồi giáo Shia
squad,2611,"Columbia, Challenger, Discovery, và Atlantis"
squad,2629,7.662.000 tấn
squad,2635,Archelaus
squad,2641,4 hiệp
squad,2666,"John Hus, hay John Huss"
squad,2698,"một món ăn bao gồm một con gà được lấy xương ra hết, nhồi vào một con vịt, rồi sau đó nhồi tiếp vào một con gà tây"
squad,2708,Toronto
squad,2738,phụ nữ Việt Nam
squad,2741,1516
squad,2742,4 tháng 2 năm 2004
squad,2792,Việt Nam
squad,2799,Đại Nam
squad,2805,7 tháng 5 năm 1840
squad,2816,Bến tàu Valongo
squad,2817,Hãn quốc Kim Trướng
squad,2841,3 tháng 1 năm 1969
squad,2850,Có
squad,2856,Đoạn văn không nêu số môn thi đấu chính thức của Thế vận hội Mùa hè
squad,2866,75 ngày
squad,2886,tỉnh An Huy
squad,2902,một người giữ vai trò quan trọng trong Đảng ở thời kỳ đầu
squad,2921,"giáo dục tuổi ấu thơ, giáo dục tiểu học, giáo dục trung học, và giáo dục đại học"
squad,2941,một Hoàng đế tài giỏi
squad,2950,"cải tạo kinh tế, văn hóa, thay đổi hệ thống giáo dục cũ, xây dựng bao cấp, quốc hữu hóa tư sản, xóa bỏ tư hữu cũng như kinh tế thị trường ở miền Nam, tổ chức học tập cải tạo, rà soát lý lịch đối với tất cả những người từng phục vụ trong chính quyền cũ cùng với gia đình của họ"
squad,2968,động cơ nhiệt
squad,2971,"hầu hết toàn bộ Mexico, Trung Mỹ và Nam Mỹ, ngoại trừ các lãnh thổ nói tiếng Anh hoặc tiếng Hà Lan"
squad,3004,hơn 585 triệu USD
squad,3031,đại hội kết tập kinh điển Phật giáo lần thứ nhất
squad,3035,khoảng năm 1860
squad,3037,nửa đầu thế kỷ 19
squad,3038,1995
squad,3041,19 tháng 1 năm 1946
squad,3048,công ty OpenAI
squad,3083,"nhà hóa học, nhà hóa sinh, nhà hoạt động vì hòa bình, tác giả và nhà giáo dục người Mỹ"
squad,3110,Auto Union và NSU Motorenwerke AG
squad,3116,2 năm
squad,3144,Phòng thí nghiệm Vật lý Quốc gia
squad,316,bệnh viêm đặc hiệu
squad,3166,M1140
squad,322,ba
squad,3223,"Giang Tô, Trung Quốc"
squad,3249,"nhiệt độ, áp suất, và thành phần của khối đá"
squad,3250,Ulysses
squad,3268,Sergey Brin
squad,3292,bằng cách điều khiển cường độ ánh sáng điểm ảnh riêng lẻ
squad,3300,15 tháng 1 năm 1128
squad,332,28 tháng 10 năm 1955
squad,339,1999
squad,367,thành phần hóa học của Trái Đất
squad,374,Djokovic
squad,38,3 định luật
squad,394,Düsseldorf
squad,396,Thư ký Hội đồng
squad,406,Hoàng thái tử Akihito
squad,436,"tại Paris, Pháp"
squad,458,15 tháng 5 năm 1935
squad,474,Tây Nam Á
squad,493,ít nghe tiếng tăm
squad,5,1916
squad,520,trầm tích sông ngòi
squad,541,từ những năm 1970
squad,58,Vietnam General Confederation of Labor
squad,581,"1,1×10 −40 J.s."
squad,636,VW
squad,655,F=ma
squad,665,"All England Club ở Wimbledon, Luân Đôn"
squad,68,một chuỗi kết hợp các công đoạn khác nhau
squad,682,Dish Network
squad,683,18
squad,720,Đoạn văn không nêu đặc điểm của chiến khu Dương Minh Châu
squad,734,Sóc Trăng
squad,74,0.5 đến 1.2
squad,755,làm xoăn
squad,758,H.265 và MPEG-H Phần 2
squad,773,"6.340,5 km²"
squad,774,"xe ô tô, xe buýt, xe tải"
squad,779,8 tháng 11 năm 2019
squad,790,Thủ tướng Chính phủ
squad,799,Museum of Modern Art
squad,803,Hệ thống tên lửa chống tên lửa đạn đạo A-35
squad,83,1999
squad,832,những năm 1960
squad,868,cuối thế kỷ XV
squad,884,32 knot (hay 37 hải lý/giờ)
squad,898,Không có thông tin
squad,90,'Touring'
squad,916,Vua Bọ cạp
squad,92,đầu thập niên 50
squad,939,"thực phẩm, sợi, nhiên liệu, và nguyên liệu"
squad,950,truyện ngắn
squad,952,nguyên liệu đầu vào vật chất và phi vật chất
squad,963,1999
squad,972,quân đội cách mạng Cuba
squad,975,"được đặc trưng có những vùng của dạ dày-ruột bị dày lên, có viêm lan ra tất cả các lớp, loét sâu, lớp viêm mạc nứt nẻ và sự có mặt của u hạt"
squad,982,100 - 160 km
